description,merchant,category,amount
coffee from Kheir Zaman,Kheir Zaman,Food & Dining,248
pants,,Shopping,3817
hospital visit at Seif Pharmacy,Seif Pharmacy,Healthcare,1498
university fees at LinkedIn Learning,LinkedIn Learning,Education,8627
paid 260 for groceries,,Food & Dining,260
weekly shopping from TGI Fridays,TGI Fridays,Food & Dining,419
bus fare from Cairo Metro,Cairo Metro,Transportation,250
paid 5518 for phone,,Shopping,5518
takeout from Ovio,Ovio,Food & Dining,653
coffee and cake at Taboon,Taboon,Food & Dining,302
careem to office at ADNOC,ADNOC,Transportation,32
barber at Salon,Salon,Personal Care,684
vacation at Sofitel,Sofitel,Travel,13170
car wash,,Transportation,73
dental checkup,,Healthcare,3478
pizza order at Oscar Market,Oscar Market,Food & Dining,162
fitness,,Entertainment,653
t-shirt from Centrepoint,Centrepoint,Shopping,4099
gasoline from Wataniya,Wataniya,Transportation,494
family dinner from Mohamed Ahmed,Mohamed Ahmed,Food & Dining,558
shirt from Vodafone Store,Vodafone Store,Shopping,6271
paid 6596 for kitchenware,,Shopping,6596
paid 1866 for medical checkup,,Healthcare,1866
pizza order,,Food & Dining,645
family dinner from Ovio,Ovio,Food & Dining,205
paid 373 for ride to work,,Transportation,373
ride home at Uber Moto,Uber Moto,Transportation,330
landline,,Bills & Utilities,736
paid 587 for breakfast,,Food & Dining,587
haircut,,Personal Care,1177
paid 369 for petrol,,Transportation,369
paid 1682 for barber,,Personal Care,1682
family dinner at Panda,Panda,Food & Dining,419
gas bill at Orange Egypt,Orange Egypt,Bills & Utilities,711
dessert at Elmenus,Elmenus,Food & Dining,233
utilities from Electricity Company,Electricity Company,Bills & Utilities,300
pedicure,,Personal Care,442
paid 155 for airport ride,,Transportation,155
pizza order from Pottery Cafe,Pottery Cafe,Food & Dining,537
paid 221 for ride to work,,Transportation,221
taxi,,Transportation,379
fast food at Taboon,Taboon,Food & Dining,416
dessert from Seoudi,Seoudi,Food & Dining,712
groceries,,Food & Dining,256
paid 858 for doctor visit,,Healthcare,858
paid 82 for breakfast,,Food & Dining,82
dental checkup from Doctor,Doctor,Healthcare,1456
concert,,Entertainment,275
spa,,Personal Care,895
monthly bills at Nile Sat,Nile Sat,Bills & Utilities,1470
paid 974 for membership,,Other,974
paid 330 for sushi dinner,,Food & Dining,330
monthly bills from Internet Provider,Internet Provider,Bills & Utilities,1084
uber ride at Car Wash,Car Wash,Transportation,43
metro ticket,,Transportation,80
takeout from Panda,Panda,Food & Dining,435
paid 286 for diesel,,Transportation,286
clothes,,Shopping,1713
dress at Jumia,Jumia,Shopping,215
paid 492 for pizza order,,Food & Dining,492
parking fee,,Transportation,105
transportation from Swvl,Swvl,Transportation,316
cinema from Apple Music,Apple Music,Entertainment,463
udemy course,,Education,12742
careem trip,,Transportation,488
clothes at Nike,Nike,Shopping,6679
paid 409 for dinner,,Food & Dining,409
paid 680 for coffee and cake,,Food & Dining,680
uber to mall,,Transportation,57
food delivery,,Food & Dining,495
water bill at Nile Sat,Nile Sat,Bills & Utilities,1027
paid 738 for lunch,,Food & Dining,738
paid 543 for foul and falafel,,Food & Dining,543
internet payment from Etisalat,Etisalat,Bills & Utilities,1039
paid 430 for food delivery,,Food & Dining,430
paid 273 for sushi dinner,,Food & Dining,273
yoga class,,Entertainment,399
ride to work,,Transportation,79
paid 136 for pizza order,,Food & Dining,136
cable tv,,Bills & Utilities,476
